symbol,name,price,change,change_percentage,market_cap,trailing_p_e,revenue,volume,total_cash,total_debt,five_year_average_dividend_yield,sector,industry
0661.HK,China Daye Non-Ferrous Metals Mining Limited,0.049,0.000,0.00%,876.884M,5.26,N/A,2.032M,N/A,N/A,N/A,Basic Materials,Copper
2000.HK,SIM Technology Group Limited,0.370,-0.025,-6.33%,875.08M,N/A,1.2B,1.882M,890.4M,90.47M,N/A,Technology,Communication Equipment
1105.HK,Sing Tao News Corporation Limited,0.990,-0.130,-11.61%,869.741M,68.11,1.03B,2.942M,574.21M,30.31M,5.49,Communication Services,Publishing
3638.HK,Huabang Financial Holdings Limited,0.199,+0.019,+10.56%,872.571M,152.31,933.64M,"48,000",128.26M,342.75M,N/A,Technology,Computer Hardware
8328.HK,Xinyi Automobile Glass Hong Kong Enterprises Limited,1.340,-0.010,-0.74%,868.502M,40.24,197.07M,"12,500",176.6M,10.76M,N/A,Consumer Cyclical,Auto Parts
6033.HK,Telecom Digital Holdings Limited,2.160,+0.010,+0.47%,872.106M,10.75,1.09B,"5,000",41.64M,208.31M,6.28,Consumer Cyclical,Specialty Retail
0334.HK,China Display Optoelectronics Technology Holdings Limited,0.410,0.000,0.00%,866.789M,18.02,N/A,"400,000",N/A,N/A,N/A,Technology,Electronic Components
1085.HK,Hengxin Technology Ltd.,2.230,+0.050,+2.29%,865.24M,11.61,N/A,"220,000",N/A,N/A,N/A,Technology,Communication Equipment
1741.HK,Ri Ying Holdings Limited,1.080,0.000,0.00%,864M,77.70,320.31M,"48,000",143.46M,8.85M,N/A,Industrials,Engineering & Construction
1260.HK,Wonderful Sky Financial Group Holdings Limited,0.750,0.000,0.00%,863.587M,11.90,450.49M,"466,000",576.44M,236.65M,N/A,Industrials,Specialty Business Services
8308.HK,Gudou Holdings Limited,0.880,0.000,0.00%,852.372M,89.01,N/A,"8,000",N/A,N/A,N/A,Consumer Cyclical,Resorts & Casinos
0346.HK,Yanchang Petroleum International Limited,0.047,-0.003,-6.00%,861.745M,N/A,12.94B,1.3M,196.07M,717.21M,N/A,Energy,Oil & Gas Integrated
0132.HK,China Investments Holdings Limited,0.500,0.000,0.00%,856.165M,37.88,197.38M,"380,000",736.27M,3.29B,N/A,Industrials,Conglomerates
0938.HK,Man Sang International Limited,0.415,+0.005,+1.22%,849.621M,N/A,124.85M,"10,000",1.39B,3.77B,N/A,Real Estate,Real Estate Services
3938.HK,LFG Investment Holdings Limited,2.060,+0.120,+6.19%,836.284M,52.82,104.74M,10.463M,178.58M,17.05M,N/A,Financial Services,Capital Markets
0528.HK,Kingdom Holdings Limited,1.350,+0.050,+3.85%,832.203M,9.90,N/A,"28,000",N/A,N/A,4.57,Consumer Cyclical,Textile Manufacturing
1084.HK,Green Future Food Hydrocolloid Marine Science Company Limited,1.040,0.000,0.00%,849.048M,7.43,996.03M,"230,000",163.68M,430.41M,N/A,Consumer Defensive,Farm Products
0769.HK,China Rare Earth Holdings Limited,0.355,-0.015,-4.05%,831.303M,23.51,1.04B,7.904M,1.64B,3.94M,N/A,Basic Materials,Other Industrial Metals & Mining
8236.HK,Powerleader Science & Technology Group Limited,3.420,-0.200,-5.52%,831.06M,9.71,N/A,"175,000",N/A,N/A,N/A,Technology,Electronics & Computer Distribution
1612.HK,Vincent Medical Holdings Limited,1.290,-0.080,-5.84%,822.568M,9.17,758.02M,1.036M,109.9M,68.23M,N/A,Healthcare,Medical Devices
0298.HK,Chuang's China Investments Limited,0.350,0.000,0.00%,822.094M,N/A,177.52M,"530,000",1.38B,1.95B,7.02,Real Estate,Real Estate—Development
3838.HK,China Starch Holdings Limited,0.137,-0.004,-2.84%,821.437M,4.48,N/A,1.25M,N/A,N/A,N/A,Consumer Defensive,Packaged Foods
1332.HK,China Touyun Tech Group Limited,0.295,0.000,0.00%,818.227M,N/A,252.41M,1.57M,310.34M,228.5M,N/A,Consumer Cyclical,Packaging & Containers
3303.HK,Jutal Offshore Oil Services Limited,0.500,-0.020,-3.85%,817.01M,11.51,N/A,"2,000",N/A,N/A,N/A,Energy,Oil & Gas Equipment & Services
0219.HK,Shun Ho Property Investments Limited,1.360,-0.070,-4.90%,788.464M,53.55,417.79M,"4,891",499.14M,1.24B,N/A,Consumer Cyclical,Lodging
1982.HK,Nameson Holdings Limited,0.355,+0.005,+1.43%,809.183M,5.15,4.48B,"270,000",713.13M,1.99B,N/A,Consumer Cyclical,Apparel Manufacturing
1009.HK,International Entertainment Corporation,0.590,-0.020,-3.28%,807.804M,N/A,220.88M,"104,000",716.61M,499.12M,N/A,Real Estate,Real Estate Services
0929.HK,IPE Group Limited,0.760,+0.020,+2.70%,799.71M,28.90,746.63M,"10,000",855.57M,233.6M,N/A,Industrials,Metal Fabrication
8026.HK,China Brilliant Global Limited,0.550,+0.010,+1.85%,798.848M,N/A,108.65M,"962,000",59.25M,5.91M,N/A,Consumer Cyclical,Luxury Goods
0838.HK,EVA Precision Industrial Holdings Limited,0.465,-0.005,-1.06%,798.21M,15.67,3.66B,"292,000",1.25B,2.05B,2.34,Industrials,Metal Fabrication
0852.HK,Strong Petrochemical Holdings Limited,0.380,+0.005,+1.33%,806.877M,N/A,13.03B,"54,000",120.97M,340.76M,N/A,Energy,Oil & Gas Refining & Marketing
0943.HK,Zhongzheng International Company Limited,0.075,-0.007,-8.54%,804.127M,670.00,171.52M,2.76M,337.08M,1.75B,N/A,Consumer Defensive,Household & Personal Products
0829.HK,Shenguan Holdings (Group) Limited,0.247,-0.001,-0.40%,797.929M,9.94,N/A,"176,000",N/A,N/A,5.71,Consumer Defensive,Packaged Foods
0505.HK,Xingye Alloy Materials Group Limited,0.930,-0.020,-2.11%,765.598M,11.94,N/A,"14,000",N/A,N/A,N/A,Basic Materials,Copper
0582.HK,Landing International Development Limited,0.224,-0.012,-5.08%,788.901M,N/A,730.22M,"881,000",585.5M,2.46B,N/A,Consumer Cyclical,Resorts & Casinos
1004.HK,China Smarter Energy Group Holdings Limited,0.084,+0.002,+2.44%,787.445M,N/A,1.32B,"484,000",23.34M,2.04B,N/A,Financial Services,Capital Markets
0199.HK,ITC Properties Group Limited,0.820,-0.020,-2.38%,787.343M,N/A,113.88M,"516,093",708.64M,3.41B,9.91,Consumer Cyclical,Lodging
8049.HK,Jilin Province Huinan Changlong Bio-pharmacy Company Limited,1.400,+0.040,+2.94%,784.35M,4.67,N/A,"88,000",N/A,N/A,N/A,Healthcare,Drug Manufacturers—Specialty & Generic
1417.HK,Riverine China Holdings Limited,1.920,-0.260,-11.93%,777.6M,42.46,N/A,"10,000",N/A,N/A,N/A,Real Estate,Real Estate Services
2119.HK,Tsit Wing International Holdings Limited,1.040,-0.030,-2.80%,773.87M,9.67,684.61M,"192,000",267.52M,34.55M,N/A,Consumer Defensive,Beverages—Non-Alcoholic
3999.HK,DaChan Food (Asia) Limited,0.760,-0.020,-2.56%,772.304M,3.30,N/A,"8,000",N/A,N/A,N/A,Consumer Defensive,Packaged Foods
0583.HK,Great Wall Pan Asia Holdings Limited,0.495,+0.005,+1.02%,783.951M,1.59,156.17M,1.2M,199.05M,4.77B,N/A,Real Estate,Real Estate Services
2286.HK,Chen Xing Development Holdings Limited,1.280,-0.100,-7.25%,768M,6.26,N/A,"119,000",N/A,N/A,N/A,Real Estate,Real Estate—Development
8487.HK,ISP Global Limited,0.960,-0.010,-1.03%,768M,425.29,N/A,"790,000",N/A,N/A,N/A,Technology,Communication Equipment
8156.HK,Sinopharm Tech Holdings Limited,0.178,-0.004,-2.20%,763.57M,N/A,120.5M,"140,000",6.71M,149.62M,N/A,Technology,Software—Application
3833.HK,"Xinjiang Xinxin Mining Industry Co., Ltd.",0.345,-0.005,-1.43%,762.45M,26.62,N/A,"407,000",N/A,N/A,N/A,Basic Materials,Other Industrial Metals & Mining
1039.HK,Changyou Alliance Group Limited,0.420,-0.010,-2.33%,760.599M,N/A,N/A,"4,000",N/A,N/A,N/A,Consumer Cyclical,Internet Retail
0432.HK,Pacific Century Premium Developments Limited,1.890,-0.060,-3.08%,760.137M,N/A,2.41B,"812,649",1.87B,8.23B,N/A,Real Estate,Real Estate Services
1401.HK,Sprocomm Intelligence Limited,0.760,+0.060,+8.57%,760M,17.53,N/A,4.22M,N/A,N/A,N/A,Technology,Consumer Electronics
1679.HK,Risecomm Group Holdings Limited,0.820,+0.130,+18.84%,809.028M,N/A,N/A,4.147M,N/A,N/A,N/A,Technology,Semiconductors
0436.HK,New Universe Environmental Group Limited,0.246,-0.014,-5.38%,746.782M,9.80,701.05M,"24,000",240.35M,250.29M,N/A,Industrials,Waste Management
1181.HK,Tang Palace (China) Holdings Limited,0.710,0.000,0.00%,763.981M,7.53,N/A,"130,000",N/A,N/A,N/A,Consumer Cyclical,Restaurants
1598.HK,China 21st Century Education Group Limited,0.650,+0.010,+1.56%,758.693M,8.44,N/A,"819,000",N/A,N/A,N/A,Consumer Defensive,Education & Training Services
1847.HK,YCIH Green High-Performance Concrete Company Limited,1.700,-0.030,-1.73%,758.662M,3.00,N/A,"109,000",N/A,N/A,N/A,Basic Materials,Building Materials
0592.HK,Bossini International Holdings Limited,0.460,-0.080,-14.81%,756.162M,N/A,1.09B,21.818M,176.93M,346.8M,N/A,Consumer Cyclical,Apparel Retail
1522.HK,BII Railway Transportation Technology Holdings Company Limited,0.355,-0.010,-2.74%,744.488M,10.81,1.23B,"16,000",918.68M,590.56M,N/A,Technology,Information Technology Services
8153.HK,Farnova Group Holdings Limited,0.131,-0.044,-25.14%,754.242M,N/A,20.55M,299.365M,N/A,N/A,N/A,Communication Services,Broadcasting
0887.HK,Emperor Watch & Jewellery Limited,0.111,-0.002,-1.77%,752.52M,9.77,2.64B,3.65M,251.1M,1.26B,N/A,Consumer Cyclical,Luxury Goods
1627.HK,Able Engineering Holdings Limited,0.375,-0.015,-3.85%,750M,31.25,1.55B,"64,000",648.64M,138.13M,N/A,Industrials,Engineering & Construction
0716.HK,Singamas Container Holdings Limited,0.315,0.000,0.00%,761.33M,N/A,225.64M,"890,000",108.95M,18.04M,N/A,Consumer Cyclical,Packaging & Containers
1538.HK,Zhong Ao Home Group Limited,0.910,-0.050,-5.21%,744.036M,6.02,N/A,1.346M,N/A,N/A,N/A,Real Estate,Real Estate Services
3601.HK,360 Ludashi Holdings Limited,2.760,-0.120,-4.17%,742.44M,5.00,N/A,"230,000",N/A,N/A,N/A,Communication Services,Internet Content & Information
2668.HK,Pak Tak International Limited,0.255,+0.005,+2.00%,739.5M,22.94,2.22B,"20,000",47.22M,463.82M,N/A,Consumer Cyclical,Apparel Manufacturing
1762.HK,Wanka Online Inc.,0.600,-0.010,-1.64%,733.368M,8.80,N/A,"843,000",N/A,N/A,N/A,Communication Services,Advertising Agencies
0690.HK,Uni-Bio Science Group Limited,0.114,-0.012,-9.52%,728.915M,315.00,179.57M,5.42M,72.58M,187k,N/A,Healthcare,Biotechnology
0282.HK,Next Digital Limited,0.275,-0.005,-1.79%,724.958M,N/A,1.16B,18.54M,137.69M,674.29M,N/A,Communication Services,Publishing
0526.HK,China Automobile New Retail (Holdings) Limited,0.090,-0.009,-9.09%,723.962M,N/A,N/A,7.644M,N/A,N/A,N/A,Consumer Cyclical,Auto & Truck Dealerships
1752.HK,Top Education Group Ltd,0.295,0.000,0.00%,720.464M,33.46,N/A,"290,000",N/A,N/A,N/A,Consumer Defensive,Education & Training Services
8619.HK,WAC Holdings Limited,0.750,+0.010,+1.35%,720M,N/A,59.77M,"716,000",33.85M,3.2M,N/A,Industrials,Engineering & Construction
8513.HK,IAG Holdings Limited,1.800,0.000,0.00%,720M,797.42,N/A,1.052M,N/A,N/A,N/A,Industrials,Engineering & Construction
1815.HK,CSMall Group Limited,0.580,+0.040,+7.41%,717.97M,N/A,N/A,1.435M,N/A,N/A,N/A,Consumer Cyclical,Luxury Goods
8095.HK,Beijing Beida Jade Bird Universal Sci-Tech Company Limited,0.520,+0.010,+1.96%,716.934M,381.34,N/A,"74,000",N/A,N/A,N/A,Consumer Cyclical,Travel Services
0471.HK,CMMB Vision Holdings Limited,0.295,-0.015,-4.84%,80.381M,N/A,6.86M,1.155M,1.72M,50.96M,N/A,Technology,Electronics & Computer Distribution
0531.HK,Samson Holding Ltd.,0.228,+0.001,+0.44%,708.503M,8.80,428.96M,"425,000",143.21M,201.5M,N/A,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
1290.HK,China Huirong Financial Holdings Limited,0.650,+0.020,+3.17%,707.05M,12.43,N/A,"314,000",N/A,N/A,N/A,Financial Services,Mortgage Finance
1720.HK,Putian Communication Group Limited,0.570,-0.060,-9.52%,627M,9.23,N/A,1.244M,N/A,N/A,N/A,Technology,Communication Equipment
0925.HK,Beijing Properties (Holdings) Limited,0.101,0.000,0.00%,703.902M,N/A,802.07M,2.428M,1.84B,10.62B,N/A,Industrials,Conglomerates
2222.HK,NVC International Holdings Limited,0.166,-0.004,-2.35%,701.728M,N/A,N/A,2.513M,N/A,N/A,N/A,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
2389.HK,Beijing Enterprises Medical and Health Industry Group Limited,0.115,0.000,0.00%,699.078M,N/A,196.16M,"270,000",529.15M,48.37M,N/A,Healthcare,Medical Care Facilities
2277.HK,Huarong Investment Stock Corporation Limited,0.380,-0.010,-2.56%,690.08M,N/A,371.66M,"355,000",2.99B,4.44B,N/A,Financial Services,Financial Conglomerates
9986.HK,Dashan Education Holdings Limited,0.870,-0.010,-1.14%,696M,12.41,N/A,"470,000",N/A,N/A,N/A,Consumer Defensive,Education & Training Services
6893.HK,Hin Sang Group (International) Holding Co. Ltd.,0.640,+0.010,+1.59%,698.752M,N/A,176.21M,"14,000",15.09M,261.18M,N/A,Consumer Defensive,Household & Personal Products
0305.HK,Wuling Motors Holdings Limited,0.335,+0.010,+3.08%,1.03B,N/A,N/A,3.49M,N/A,N/A,1.91,Consumer Cyclical,Auto Parts
0149.HK,China Agri-Products Exchange Limited,0.069,-0.001,-1.43%,686.762M,62.22,873.15M,1.888M,404.69M,1.85B,N/A,Real Estate,Real Estate—Diversified
1449.HK,Leader Education Limited,1.030,-0.050,-4.63%,686.667M,10.25,N/A,"741,000",N/A,N/A,N/A,Consumer Defensive,Education & Training Services
1301.HK,D&G Technology Holding Company Limited,1.100,+0.030,+2.80%,684.154M,N/A,N/A,"320,000",N/A,N/A,N/A,Industrials,Engineering & Construction
2448.HK,Space Group Holdings Limited,0.880,-0.160,-15.38%,668.8M,15.39,N/A,8.863M,N/A,N/A,N/A,Industrials,Engineering & Construction
0214.HK,Asia Orient Holdings Limited,0.800,+0.020,+2.56%,672.699M,1.21,2.63B,"12,000",16.98B,19.13B,1.76,Financial Services,Asset Management
0585.HK,Imagi International Holdings Limited,0.810,+0.010,+1.25%,672.237M,N/A,-114.52M,"8,000",109.48M,2.48M,N/A,Communication Services,Entertainment
8167.HK,Neo Telemedia Limited,0.070,0.000,0.00%,666.553M,N/A,698.17M,"572,000",26.31M,1.24B,N/A,Communication Services,Telecom Services
0195.HK,Greentech Technology International Limited,0.097,0.000,0.00%,662.51M,N/A,370.39M,"280,000",118.75M,80.85M,N/A,Basic Materials,Other Industrial Metals & Mining
0695.HK,Dongwu Cement International Limited,1.200,+0.020,+1.69%,662.4M,10.56,N/A,"98,000",N/A,N/A,N/A,Basic Materials,Building Materials
0295.HK,Kong Sun Holdings Limited,0.041,-0.003,-6.82%,613.54M,N/A,N/A,"50,000",N/A,N/A,N/A,Utilities,Utilities—Renewable
1285.HK,Jiashili Group Limited,1.600,0.000,0.00%,664M,5.26,N/A,"70,000",N/A,N/A,5.97,Consumer Defensive,Packaged Foods
0126.HK,Carrianna Group Holdings Company Limited,0.520,0.000,0.00%,653.687M,46.43,1.03B,1.074M,639.16M,1.8B,3.72,Consumer Cyclical,Restaurants
0154.HK,Beijing Enterprises Environment Group Limited,0.435,0.000,0.00%,652.657M,7.02,1.32B,"589,000",1.3B,3.6B,N/A,Industrials,Waste Management
2258.HK,Watts International Maritime Engineering Limited,0.790,+0.040,+5.33%,652.066M,5.67,N/A,"304,000",N/A,N/A,N/A,Industrials,Infrastructure Operations
0536.HK,Tradelink Electronic Commerce Limited,0.820,+0.010,+1.23%,651.6M,9.61,332.19M,"504,000",325.85M,3.03M,6.95,Technology,Software—Application
1026.HK,Universal Technologies Holdings Limited,0.118,+0.003,+2.61%,650.534M,N/A,328.09M,"130,000",388.63M,652.49M,N/A,Utilities,Utilities—Regulated Water
3300.HK,China Glass Holdings Limited,0.355,-0.015,-4.05%,642.603M,6.41,N/A,"16,000",N/A,N/A,N/A,Industrials,Building Products & Equipment
1733.HK,E-Commodities Holdings Limited,0.205,-0.005,-2.38%,620.51M,2.11,29.15B,2.308M,1.81B,2.37B,N/A,Energy,Thermal Coal
1121.HK,Baofeng Modern International Holdings Company Limited,0.430,+0.010,+2.38%,639.35M,N/A,N/A,"42,000",N/A,N/A,N/A,Consumer Cyclical,Footwear & Accessories
8425.HK,Hing Ming Holdings Limited,1.590,0.000,0.00%,636M,283.93,50.16M,"380,000",23.7M,10.44M,N/A,Industrials,Rental & Leasing Services
9936.HK,Ximei Resources Holding Limited,2.120,+0.020,+0.95%,636M,8.70,N/A,1.33M,N/A,N/A,N/A,Basic Materials,Specialty Chemicals
3992.HK,Creative Enterprise Holdings Limited,1.270,0.000,0.00%,635M,18.39,783.93M,"16,000",89.66M,22.58M,N/A,Real Estate,Real Estate Services
3678.HK,"Holly Futures Co., Ltd.",0.700,-0.010,-1.41%,634.9M,17.96,N/A,"99,000",N/A,N/A,N/A,Financial Services,Capital Markets
1748.HK,Xin Yuan Enterprises Group Limited,1.440,+0.010,+0.70%,633.6M,12.39,54.78M,"314,000",11.57M,101.07M,N/A,Industrials,Marine Shipping
0290.HK,China Fortune Financial Group Limited,0.069,+0.001,+1.47%,631.562M,N/A,115.67M,"614,000",537.31M,500.5M,N/A,Financial Services,Financial Conglomerates
0865.HK,Jiande International Holdings Limited,0.109,0.000,0.00%,636.341M,16.67,N/A,"132,000",N/A,N/A,N/A,Real Estate,Real Estate—Development
3398.HK,China Ting Group Holdings Limited,0.300,0.000,0.00%,629.946M,N/A,1.65B,"240,000",1.14B,633.89M,N/A,Consumer Cyclical,Apparel Manufacturing
2166.HK,Smart-Core Holdings Limited,1.290,0.000,0.00%,639.71M,11.77,4.8B,"100,000",318.43M,371.56M,N/A,Technology,Electronics & Computer Distribution
6805.HK,Kimou Environmental Holding Limited,0.560,-0.010,-1.75%,627.2M,8.21,N/A,"338,000",N/A,N/A,N/A,Industrials,Waste Management
1845.HK,Weigang Environmental Technology Holding Group Limited,0.470,+0.020,+4.44%,626.67M,8.44,N/A,"360,000",N/A,N/A,N/A,Industrials,Waste Management
1906.HK,Bonny International Holding Limited,0.520,+0.010,+1.96%,624M,N/A,N/A,1.375M,N/A,N/A,N/A,Consumer Cyclical,Apparel Manufacturing
1707.HK,Geotech Holdings Ltd.,0.370,0.000,0.00%,621.6M,N/A,332.74M,"200,000",154.03M,5.01M,N/A,Industrials,Engineering & Construction
1008.HK,Brilliant Circle Holdings International Limited,0.395,+0.030,+8.22%,619.313M,3.59,1.49B,5.85M,726.19M,674.18M,N/A,Consumer Cyclical,Packaging & Containers
0565.HK,Art Group Holdings Limited,0.230,-0.030,-11.54%,618.426M,14.74,209.38M,"20,000",423.42M,945.2M,N/A,Real Estate,Real Estate Services
1203.HK,GDH Guangnan (Holdings) Limited,0.680,+0.010,+1.49%,617.163M,9.07,2.32B,"116,000",993.07M,57.53M,4.20,Basic Materials,Steel
0391.HK,Mei Ah Entertainment Group Limited,0.104,-0.001,-0.95%,616.069M,N/A,153.61M,1.08M,37.24M,240.04M,N/A,Communication Services,Entertainment
0876.HK,Kaisa Health Group Holdings Limited,0.122,0.000,0.00%,615.141M,N/A,208.98M,"100,000",230M,19.83M,N/A,Healthcare,Medical Instruments & Supplies
0351.HK,Asia Energy Logistics Group Limited,0.360,+0.005,+1.41%,610.193M,N/A,63.16M,1.662M,10.41M,135.35M,N/A,Industrials,Marine Shipping
1029.HK,IRC Limited,0.086,+0.001,+1.18%,610.032M,N/A,194.09M,15.936M,4.98M,221.02M,N/A,Basic Materials,Other Industrial Metals & Mining
0701.HK,CNT Group Limited,0.320,+0.010,+3.23%,609.181M,2.60,736.63M,"222,340",408.82M,227.53M,2.79,Basic Materials,Specialty Chemicals
0605.HK,China Financial Services Holdings Limited,0.145,0.000,0.00%,607.691M,3.32,678.25M,"160,000",708.87M,1.26B,N/A,Financial Services,Credit Services
0093.HK,Termbray Industries International (Holdings) Limited,0.310,+0.005,+1.64%,606.868M,N/A,8.04M,"32,000",188.62M,678k,N/A,Real Estate,Real Estate Services
8363.HK,SDM Group Holdings Limited,1.740,-0.160,-8.42%,623.094M,N/A,167.88M,"498,000",84.5M,448.57M,N/A,Consumer Defensive,Education & Training Services
0278.HK,Wah Ha Realty Company Limited,5.000,0.000,0.00%,604.8M,N/A,48.81M,"2,000",294.97M,N/A,2.86,Real Estate,Real Estate Services
1856.HK,Ernest Borel Holdings Limited,1.800,+0.060,+3.45%,625.387M,N/A,124.02M,"694,000",19.45M,224.68M,N/A,Consumer Cyclical,Luxury Goods
0875.HK,China Finance Investment Holdings Limited,2.000,+0.150,+8.11%,604.166M,N/A,211.12M,"7,925",116.7M,215.84M,N/A,Consumer Defensive,Farm Products
0377.HK,Huajun International Group Limited,9.790,+0.220,+2.30%,602.506M,N/A,N/A,560,N/A,N/A,N/A,Basic Materials,Specialty Chemicals
0109.HK,Good Resources Holdings Limited,0.081,-0.004,-4.71%,574.146M,14.91,135.81M,309,1.23B,36.28M,N/A,Financial Services,Asset Management
0366.HK,Luks Group (Vietnam Holdings) Company Limited,1.190,0.000,0.00%,601.303M,6.26,600.91M,"20,000",414.69M,12.5M,5.49,Basic Materials,Building Materials
9919.HK,Activation Group Holdings Limited,0.780,0.000,0.00%,597.056M,18.32,N/A,"336,000",N/A,N/A,N/A,Communication Services,Advertising Agencies
0487.HK,Success Universe Group Limited,0.120,0.000,0.00%,591.179M,7.95,817.98M,"68,000",212.04M,305.55M,N/A,Consumer Cyclical,Travel Services
0821.HK,Value Convergence Holdings Limited,0.400,-0.015,-3.61%,590.9M,N/A,59.98M,7.804M,225.7M,26.13M,N/A,Financial Services,Capital Markets
1263.HK,PC Partner Group Limited,1.580,+0.020,+1.28%,587.909M,52.67,7.43B,"360,000",738.33M,1.48B,N/A,Technology,Computer Hardware
6168.HK,China U-Ton Future Space Industrial Group Holdings Ltd.,0.219,+0.014,+6.83%,626.327M,N/A,N/A,"135,000",N/A,N/A,N/A,Technology,Communication Equipment
3348.HK,China PengFei Group Limited,1.170,+0.020,+1.74%,585M,5.10,N/A,"16,000",N/A,N/A,N/A,Industrials,Specialty Industrial Machinery
0842.HK,Leoch International Technology Limited,0.430,0.000,0.00%,583.785M,3.78,N/A,"401,000",N/A,N/A,N/A,Industrials,Electrical Equipment & Parts
0558.HK,L.K. Technology Holdings Limited,0.495,-0.005,-1.00%,589.679M,163.33,2.75B,"95,000",768.7M,1.8B,N/A,Industrials,Specialty Industrial Machinery
0947.HK,"MOBI Development Co., Ltd.",0.710,0.000,0.00%,581.695M,20.83,N/A,"996,000",N/A,N/A,3.24,Technology,Communication Equipment
9916.HK,Xingye Wulian Service Group Co. Ltd.,1.450,-0.070,-4.61%,580M,13.56,N/A,"600,000",N/A,N/A,N/A,Real Estate,Real Estate Services
1442.HK,Infinity Logistics and Transport Ventures Limited,0.290,-0.010,-3.33%,580M,12.77,N/A,"180,000",N/A,N/A,N/A,Industrials,Integrated Freight & Logistics
1790.HK,TIL Enviro Limited,0.580,+0.020,+3.57%,580M,5.27,468.96M,"125,000",158.97M,781.13M,N/A,Industrials,Waste Management
0627.HK,"Fullsun International Holdings Group Co., Limited",0.051,0.000,0.00%,578.937M,9.46,348.38M,4.921M,3.61M,N/A,0.00,Consumer Goods,Textile - Apparel Clothing
3623.HK,China Success Finance Group Holdings Limited,1.100,+0.030,+2.80%,577.098M,N/A,N/A,"110,000",N/A,N/A,N/A,Financial Services,Financial Conglomerates
1771.HK,Sunfonda Group Holdings Limited,0.980,+0.030,+3.16%,588M,5.28,N/A,"40,000",N/A,N/A,N/A,Consumer Cyclical,Auto & Truck Dealerships
2358.HK,Jiu Rong Holdings Limited,0.105,-0.001,-0.94%,574.56M,21.88,589.51M,"510,000",429.11M,662.8M,N/A,Technology,Consumer Electronics
8047.HK,China Ocean Group Development Limited,0.133,-0.003,-2.21%,572.693M,19.56,888.1M,1.144M,12.25M,197.83M,N/A,Industrials,Integrated Freight & Logistics
0593.HK,DreamEast Group Limited,2.000,0.000,0.00%,570.982M,N/A,92.92M,"4,000",59.17M,4.67B,N/A,Real Estate,Real Estate Services
2023.HK,China Ludao Technology Company Limited,1.180,+0.010,+0.85%,580.324M,20.59,N/A,"8,000",N/A,N/A,N/A,Consumer Defensive,Household & Personal Products
8329.HK,Shenzhen Neptunus Interlong Bio-technique Company Limited,0.340,-0.025,-6.85%,570.52M,8.45,N/A,"770,000",N/A,N/A,N/A,Healthcare,Drug Manufacturers—Specialty & Generic
1729.HK,Time Interconnect Technology Limited,0.310,-0.005,-1.59%,570.4M,4.49,1.44B,"568,000",288.01M,84M,N/A,Industrials,Electrical Equipment & Parts
2262.HK,Steve Leung Design Group Limited,0.500,-0.060,-10.71%,570.02M,14.88,470.15M,22.212M,185.48M,105.62M,N/A,Industrials,Engineering & Construction
1758.HK,Bojun Education Company Limited,0.690,+0.020,+2.99%,567.081M,20.24,N/A,"184,000",N/A,N/A,N/A,Consumer Defensive,Education & Training Services
0239.HK,Pak Fah Yeow International Limited,1.800,-0.010,-0.55%,560.952M,15.60,119.03M,"10,000",133.97M,16.84M,3.99,Healthcare,Drug Manufacturers—Specialty & Generic
1553.HK,Maike Tube Industry Holdings Limited,1.340,-0.020,-1.47%,581.292M,4.32,N/A,"40,000",N/A,N/A,N/A,Basic Materials,Steel
0935.HK,Dragon Crown Group Holdings Limited,0.460,-0.005,-1.08%,561.49M,10.34,235.74M,"22,000",258.02M,200.69M,4.30,Industrials,Integrated Freight & Logistics
2296.HK,Huarchi Global Group Holdings Limited,0.280,-0.010,-3.45%,560M,8.90,N/A,2.496M,N/A,N/A,N/A,Industrials,Engineering & Construction
1849.HK,AM Group Holdings Limited,0.700,0.000,0.00%,560M,32.32,N/A,"670,000",N/A,N/A,N/A,Communication Services,Advertising Agencies
0984.HK,"AEON Stores (Hong Kong) Co., Limited",2.150,-0.060,-2.71%,559M,N/A,9.82B,"43,500",1.81B,4.53B,8.64,Consumer Cyclical,Department Stores
1207.HK,SRE Group Limited,0.027,0.000,0.00%,555.247M,N/A,N/A,"368,000",N/A,N/A,N/A,Real Estate,Real Estate—Development
0653.HK,Bonjour Holdings Limited,0.162,+0.007,+4.52%,552.836M,N/A,966.69M,"527,000",50.6M,795.41M,N/A,Consumer Cyclical,Specialty Retail
1495.HK,Jiyi Holdings Limited,0.710,+0.010,+1.43%,552.271M,33.41,N/A,"24,000",N/A,N/A,N/A,Industrials,Engineering & Construction
1161.HK,Water Oasis Group Limited,0.810,0.000,0.00%,551.248M,5.70,748.64M,"274,000",377.75M,201.23M,9.51,Consumer Cyclical,Personal Services
1201.HK,Tesson Holdings Limited,0.460,-0.005,-1.08%,550.385M,N/A,443.88M,"336,000",58.91M,327.16M,N/A,Real Estate,Real Estate—Development
8479.HK,JTF International Holdings Limited,0.590,0.000,0.00%,548.7M,19.23,N/A,"228,000",N/A,N/A,N/A,Energy,Oil & Gas Refining & Marketing
6918.HK,Kidztech Holdings Limited,1.060,0.000,0.00%,557.398M,20.58,N/A,"230,000",N/A,N/A,N/A,Consumer Cyclical,Leisure
